"source","site_abbr","Treatment","trend_class","n_total","record_years","n_timepoints","window_years","n_windows","p_same_sign","p_opposite_sign","p_any","directional","window_bin"
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,8,8.50034223134839,2,0,0,0,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTamb","variable",9,10.0020533880903,9,10.0020533880903,1,0,0,0,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,3,3.00136892539357,7,0,0,0,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,4,4.00068446269678,6,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,5,5,5,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,6,6.00068446269678,4,0,0,0,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,7,7.00136892539357,3,0,0,0,FALSE,7
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,8,8.50034223134839,2,0,0,0,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M H2Oneg HTelv","stable",9,10.0020533880903,9,10.0020533880903,1,0,0,0,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,3,3.00136892539356,21,0.0476190476190476,0.0476190476190476,0.0952380952380952,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,4,4.00068446269678,20,0.15,0.05,0.2,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,5,5,19,0.0526315789473684,0,0.0526315789473684,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,6,5.99931553730322,18,0.111111111111111,0.166666666666667,0.277777777777778,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,7,7.00136892539357,17,0.117647058823529,0.235294117647059,0.352941176470588,FALSE,7
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,8,8.00068446269678,16,0.0625,0.25,0.3125,FALSE,8
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,9,9,15,0.266666666666667,0.266666666666667,0.533333333333333,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,10,9.99931553730322,14,0.214285714285714,0.214285714285714,0.428571428571429,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,11,11.0013689253936,13,0.307692307692308,0.230769230769231,0.538461538461538,FALSE,11
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,12,12.0006844626968,12,0.25,0.166666666666667,0.416666666666667,FALSE,12
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,13,13,11,0.181818181818182,0.272727272727273,0.454545454545455,FALSE,13
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,14,13.9993155373032,10,0.2,0.2,0.4,FALSE,14
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,15,15.0013689253936,9,0.111111111111111,0.222222222222222,0.333333333333333,FALSE,15
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,16,16.0006844626968,8,0,0,0,FALSE,16
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,17,17,7,0,0,0,FALSE,17
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,18,17.9993155373032,6,0,0,0,FALSE,18
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,19,19.0013689253936,5,0,0,0,FALSE,19
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,20,20.0006844626968,4,0,0,0,FALSE,20
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,21,21,3,0,0,0,FALSE,21
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,22,22.5003422313484,2,0,0,0,FALSE,23
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich S","stable",23,24.0006844626968,23,24.0006844626968,1,0,0,0,FALSE,24
