"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	114	970723	ROOTS	0--30	21022	0.98555	44.3331	44.983
123	115	970723	ROOTS	0--30	21023	0.66756	21.1745	31.7194
123	116	970723	ROOTS	0--30	21024	0.63699	22.2282	34.8958
123	117	970723	ROOTS	0--30	21025	0.6805	36.4145	53.5116
123	118	970723	ROOTS	0--30	21026	0.6798	29.4102	43.2631
123	119	970723	ROOTS	0--30	21027	0.45668	17.7531	38.8743
123	120	970723	ROOTS	0--30	21028	0.44611	19.5008	43.713
123	121	970723	ROOTS	0--30	21029	0.64216	24.4803	38.1219
123	122	970723	ROOTS	0--30	21030	0.70617	16.2026	22.9443
123	123	970723	ROOTS	0--30	21031	1.18314	30.0741	25.4187
123	124	970723	ROOTS	0--30	21032	0.70105	24.0583	34.3175
123	125	970723	ROOTS	0--30	21033	1.75658	46.3638	26.3943
123	126	970723	ROOTS	0--30	21034	0.73918	40.5113	54.8059
123	127	970723	ROOTS	0--30	21035	1.05039	44.6474	42.5055
123	128	970723	ROOTS	0--30	21036	0.60795	29.1702	47.9815
123	129	970723	ROOTS	0--30	21037	0.9179	29.8277	32.4955
123	130	970723	ROOTS	0--30	21038	0.98013	41.0637	41.8962
123	131	970723	ROOTS	0--30	21039	0.79039	30.6781	38.8139
123	132	970723	ROOTS	0--30	21040	0.52934	20.6855	39.0776
123	133	970723	ROOTS	0--30	21041	0.80191	27.8374	34.714
123	134	970723	ROOTS	0--30	21042	0.65488	22.9786	35.0885
123	135	970723	ROOTS	0--30	21043	0.39137	11.9194	30.4553
123	136	970723	ROOTS	0--30	21044	0.56756	33.9115	59.7491
123	137	970723	ROOTS	0--30	21045	0.85847	39.5474	46.0671
123	138	970723	ROOTS	0--30	21046	0.76594	28.4371	37.1272
123	139	970723	ROOTS	0--30	21047	0.92584	33.7087	36.4089
123	140	970723	ROOTS	0--30	21048	1.00852	38.1041	37.7821
123	141	970723	ROOTS	0--30	21049	0.70713	27.0088	38.195
123	142	970723	ROOTS	0--30	21050	0.87442	39.7334	45.4399
123	143	970723	ROOTS	0--30	21051	0.56254	26.8094	47.6579
123	144	970723	ROOTS	0--30	21052	0.53904	18.5504	34.4139
123	145	970723	ROOTS	0--30	21053	0.65311	22.8941	35.0539
123	146	970723	ROOTS	0--30	21054	0.82504	40.2067	48.7329
123	147	970723	ROOTS	0--30	21055	0.58448	23.8021	40.7237
123	1	 	 	 	26844	0.9084175	40.72298	44.82848
123	2	 	 	 	26845	1.13736	41.94752	36.88148
123	3	 	 	 	26846	0.7525485	39.50264	52.49182
123	4	 	 	 	26847	0.9837768	40.87787	41.55198
123	5	 	 	 	26848	0.6180371	38.57861	62.42119
123	6	 	 	 	26849	1.964652	44.16172	22.47814
123	7	 	 	 	26850	0.8020707	43.71227	54.49927
123	8	 	 	 	26851	0.7578049	44.65757	58.93017
123	9	 	 	 	26852	1.16162	37.52562	32.30456
123	10	 	 	 	26853	0.5842276	41.59778	71.20133
123	11	 	 	 	26854	1.123177	42.73468	38.04804
